video_name,category_name,title,text,summary
0.mp4,Развлечения,Правильная цена I #3,"давай поспорим на выпуск, вот типа, что я точно угадаю цену одного из предметов. давайте с вами немножко разгонимся. я? я не закрывала. максимум там… красочки тысяч за 20-30. это барта. нифига, у тебя большие, покажи. 500. короче, я понял. авито или другие? всякие, знаете, косплеи. варианты? это не фрах. а нет, представляете? вскрываемся. а он породистый какой-то? ты тоже срёшь. и поставьте лайк, пожалуйста, кто со мной согласен. конечно. уляночка. человек отдаёт предпочтение спермантизму своим акрилом на холсте. акрилом. вы, как я и говорю, не понимаете вот эти вот твои акрилы. у меня написано, по-человечески дрочит. по факту я тут замолкаю. в принципе. а ты, бинет, сколько? отмена.группа людей сидит за столом, а мужчина дает пощечину.","С вами Макс Климток и это шоу Правильная цена! Шоу, в котором участники зарабатывают баллы, угадывая правильные цены товаров и услуг. Сегодня мы узнаем, как в ценах ориентируются Бинет Сен,  Женя Лизогубенко и Кика Кика За просмотр шоу вы также можете заплатить свою цену - поставить лайк, подписаться на канал и оставить комментарий."
1.mp4,Спорт/Игры,Три лошадиные силы | Выпуск №2,"мы за тачкой. пойдем за тачкой. ногово живот? закрываем, валим. закрываем, валим. в жопу надо. надо в жопу. пен, я думаю, что заберет авет. короче, чтобы выходом надо сделать задание. продолжай ехать так до конца пояса. ну, короче... я оторвал. да есть. как так? так, начни жевать ментес. это еще сазона. сазон впереди нас? как? да как? как? едем! я сейчас буду на обкат так, **... короче... ой! он где-то на варико, что ли, стоял? пообавдели! короче, мы отстаем. как так? у нас время просто припыть. потому что авет нас поедет сейчас догнать должен. ты бодрел? сазона богдана авета.мужчина стоит перед пучком картонных коробок, а затем мужчина стоит перед пучком картонных коробок, а затем мужчина находится за рулем автомобиля на парковке, в то время как музыка играет на заднем плане, и мужчина разговаривает с ним.","В этом новом выпуске нас ждут не менее новые и безумные челленжи наших сумасшедших и харизматичных ведущих! Аварии, гонка, надувные женщины... Что ждет их на очередном пути к победе. Ставь лайки, пиши комментарии и подписывайся. Агабекян Авет ... Саша Стоун / Макс Игумнов /   #челленджи #челленджи2021"
2.mp4,Блоги,Хашлама | Выпуск 4 | Силиконовый ПРЕСС Давы | Скандал ВкусВилл | ТикТоки Погребняк,"доливери-клаб. авет, в связи со сложившейся обстановкой в мире курьерства… спар. что? кислое? все, ты зарядился? а, это сейчас в сочи. бронировали. бронировали. пхинкалеми. почему она кориччима? прямо есть захотелось. а подмышку так надо мазать? как по-любому вжив. вставишь? ты понял? типа реально такой средственный крутой? тревис как тре...мужчина и женщина сидят перед экраном и говорят о чем-то.","Привет, это Султан и Авет! Мы опять хаваем вкусное и не очень вкусное, а также обсуждаем всевозможные зашквары. В этом выпуске мы высмеяли дешевый пресс Давы, поржали над тиктоками Погребняк, Обсудили Тбилиси и конечно же не смогли пройти мимо скандала со ВкусВиллом. Ставьте лайки и комменты, приятного просмотра. #шоу #хашлама #дава  Авет - Султан - /  Сотрудничество: email"
3.mp4,Путешествия,Прогулка по стране - Владивосток,человек управляет транспортным средством по оживленной улице посреди оживленной городской улицы.,"Прогулка по Владивостоку. Самому большому городу Дальнего Востока. Предлагаем посмотреть на центральные улицы города и вместе с нами оценить самые интересные места и достопримечательности «столицы Приморского края»., погрузимся в непередаваемую атмосферу одного из красивейших городов России, не отвлекаясь ни на что лишнее."
4.mp4,Искусство,Артмеханика. Выпуск 3. Татуировки + Mika Vino,"олечка. так как рисовал авторучкой, получалась что-то графико черно-белое. первые у нас в стране и хотелось тату, но не было у кого их сделать. в общем, таким образом я занялся тату. да, повезло так, что ее нашли археологи, и они смогли вызвать людей, которые поддерживали бальзамирование ленина. ну, про скифские техники я не знаю. на мне есть несколько тату, которые сделаны ручным способом, например, там самуанское тату, которое мне делал человек, который тогда такой вождь был, и он был самый крутой из 16 мастеров, на то время существовавших, которые вот эту ручную технику практиковали. у нас тату появилась намного позже, ну, про современные тату, чем там в какой-нибудь англии, германии или сша, где имела вид, типа парикмахерские барбершопы, как сфера обслуживания. хочу процитировать своих друзей из спецназа, они говорят, тупо, слушай, скажи тупо, вот скажи мне тупо, почему тату это вид современного искусства? рисовать классно мы уже умеем, тут интересно тронуть не сходством, а чем-то другим.мужчина и женщина находятся на сцене, и мужчина разговаривает, в то время как женщина держит микрофон.","Были ли татуировки на теле Николая II? Почему татуировка – это важная часть национальной культуры? За какие татуировки никогда не возьмется мастер из самого модного тату-салона Москвы? Обо всем этом мы говорим в новом выпуске Артмеханика, а заодно узнаем, как  Mika Vino  попали на лэйбл «Газгольдер». Кстати,   в этом выпуске они впервые исполнят главный саундтрек к сериалу «И снова Здравствуйте». Не пропусти."
5.mp4,Блоги,Пробы | Выпуск 5 | Майор Дрозд,"снимаю говно! ой! я долженко иван. достал бы... я тебя залил, понял, да? дурачок? мимо. перекат. перекат. оттуда-сюда перекат. перекат. перекат. перекат. перекат. прям полностью перекат. перекат можете сделать. когда по-другому можно вискать. я, короче, приезжаю на место. я подошел. напарник, как дела? в смысле? дубинки? скажите, завращайте ее. или как? займите планку. значит, на майора дразда супермент. все зазерняемся. на мухтарова. мент один это иван. как записано. фух. к рестным будешь. я неужели, дружище... ну что, дросс?мужчина сидит на стуле и разговаривает с камерой, в то время как другой мужчина говорит на иностранном языке.",На этот раз актеры проходят кастинг на роли в первый боевик режиссера Геры Теплого.
6.mp4,Авто-мото,$1000 шоу | 10 выпуск | Готовь резину,"да блин! мы в пробку попали! да ну нафиг! и многие из вас, я думаю, уже на перебули свои тачки, да? нет, еще не все? ну, сейчас тогда потренируешься. ну что? ну что? ну что? да подвините ее. ты кидай все, блин. последние приехали и накидали. ничего страшного, повезет в другой раз. смекалка. смекалка, да, и стремление вперед. уже поувереннее ребята берут. стой. тише едешь, дальше будешь. самое интересное начнется, когда начнется забрасывать. забрасывать, да, да, да. и вот они уже подъезжают на финиш. поэтому пойдемте смотреть, как они будут закидывать. давай. опана. покажите максимум. там же борта более-менее нормальная. а я халибрать. но чуть-чуть ягруппа людей наблюдает за тем, как автомобиль спускается по грунтовой дороге посреди дня.","В новом выпуске 1000$ шоу Дима Гордей проведёт очередной челлендж на новой крутой трассе! 4 команды подписчиков будут перевозить зимнюю резину на скорость. Возить её они будут не в багажнике или салоне, а на закреплённых за тачкой палетках! 1000 $  заберет та команда, которая закинет на 3х метровый столб максимальное количество шин за отведённое время! Будет пыльно!"
7.mp4,Развлечения,Фея-Крёстная | №1 | Фейя,"шикарно. все для того, чтобы героиня блистала. круто! круто, круто. что ты придумала? круто! да все так говорили. давай. ой, волнуйся. это фе. она сейчас делается замеры. ладно? я уже жду результатов в талии замеров. осиная. а бедра? поэтому можно уже немного поправиться. и я более чем уверена, что нам хватит этой ткани. и если мы правильно сейчас все распределим, то нам хватит на шикарный бант. наталья, у нас снова строчный заказ. мне кажется, должна хватить. где? где? я думаю, привезут. так как у нас... в дропировке?группа женщин сидит в комнате, и одна из них говорит с другой женщиной.","В этом выпуске Ассоль приведет в ателье к Рабиа Халилли Фейю – очень хрупкую, нежную девушку. На первый взгляд может показаться, что ей едва ли стукнуло 18 лет. На самом деле уже завтра Фейе исполнится… 30! По этому поводу девушка хочет устроить изысканный ужин с подругами. Но, во-первых, у нее в гардеробе нет ни одного торжественного наряда. Во-вторых, девушку немного пугает эта цифра... Фейя обращается за помощью в проект «Фея Крестная», чтобы спасти день рождения и шагнуть в новую жизнь в потрясающем платье от кутюр."
8.mp4,Спорт,Путь бойца. НОВЫЙ УРОВЕНЬ. 2 серия,"выпряглись немножечко. давайте хотя бы пятнашки, пятнашки. прическу испортишь. аккуратнее. от вас можно ожидать все непонятное. точно? по нему видно, что он из мира съемок. что, трико какое-то. охренеть! это жесть, конечно. нормально поражался. что засунул-то? у меня как будто свои. меня в таких вырубили. да ладно. как ну вам? это моя стихия. смотри, во-первых, взгляд такого альфа-самца, ты должен немножко набычиться чуть-чуть. да, вот правильно, прожигаешь. поддубный. понятно? матики. егор. до новых встреч. думал, ну ладно, типа поддержат.два мужчины находятся в боксерском ринге, и один из мужчин бьет другого человека в грудь.","Почти половина участников завалила первый этап и покинула проект. Конкуренция среди оставшихся бойцов растет. В новых испытаниях им предстоит проявить свою харизму и, конечно же, боевые навыки. Смогут ли участники сохранить дружеские отношения, или стресс и желание победить подтолкнут их к конфликтам между собой?"
9.mp4,Развлечения,Фея-Крёстная | №2 | Даша,"шикарно. ты-то тут при чем? ты же вроде как мист должна участвовать. называется «ти фест». сталан? есть такое. для? ну и оригалии? ну ладно. шикарное. шикарное. конечно. самому главному. выдающийся объем. что подчеркнуть? при этом низ он однозначно будет весь украшен. я пока буду разучивать. пока-пока. пока. я планирую что-то облегающее на не очень. именно на лифе. конечно. ну как хватит на самом деле. что там будет посередине, насколько это будет тянуться, это же на ваше усмотрение. ну либо в похожих оттенках. а нужно припуски оставлять или нет? припуск можно сделать.женщина разговаривает с группой людей, а затем показывают женщину, которая разговаривает с группой людей.","В этом выпуске за помощью к Рабиа Халилли обратилась Даша. Она только недавно поступила в институт, но ей уже выпала честь быть напарницей на конкурсе Мистер Университет. Первокурсница уже сломала голову над внешним видом. Кто-то из конкурсанток шьет платья на заказ. Но у 18-летней девочки нет бюджета на такую роскошь. Она не могла даже мечтать о том, что выйдет на дефиле в платье от кутюр. Но в проекте «Фея Крестная» нет ничего невозможного, и Рабиа Халилли и Ассоль помогут Даше почувствовать себя настоящей принцессой."
